iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
856,1189747,45,50,1
857,1190699,46,50,1
858,1193934,46,50,1
859,1196492,46,50,1
860,1199043,46,50,1
861,1202065,46,50,1
862,1208723,46,50,1
863,1209401,46,50,1
864,1210781,46,50,1
865,1220283,47,50,1
866,1222292,47,50,1
867,1226843,47,50,1
868,1228829,47,50,1
869,1230279,48,50,1
870,1232365,48,51,1
871,1232559,48,51,1
872,1232944,49,52,1
873,1233281,49,53,1
874,1235133,49,53,2
875,1235719,49,53,2
876,1239281,49,53,2
877,1239414,49,53,2
878,1246385,49,53,2
879,1246881,50,53,2
880,1249445,50,53,2
881,1251729,50,53,2
882,1257209,50,53,2
883,1258926,50,53,2
884,1259908,50,53,2
885,1262342,50,53,2
886,1263779,50,53,2
887,1264490,50,53,2
888,1265261,50,54,2
889,1279860,50,54,2
890,1287655,50,54,2
891,1292287,50,54,2
892,1292937,50,54,2
893,1293497,50,54,2
894,1294289,50,54,2
895,1294443,50,55,2
896,1294546,50,55,2
897,1296913,50,55,2
898,1303877,50,55,2
899,1304712,50,55,2
900,1307934,50,56,2
901,1310189,50,56,2
902,1314553,51,57,2
903,1318961,51,57,2
904,1322436,52,57,2
905,1322869,52,57,2
906,1322957,52,57,2
907,1324062,53,57,2
908,1328817,53,57,2
909,1332600,54,57,2
910,1333424,54,57,2
911,1333600,54,57,2
912,1337080,54,57,2
913,1340756,54,57,2
914,1340770,54,57,2
915,1341946,54,57,2
916,1342306,54,57,2
917,1347948,54,57,2
918,1348308,54,57,2
919,1355905,54,57,2
920,1361099,54,57,2
921,1364421,54,57,2
922,1367315,55,57,2
923,1375956,55,59,2
924,1378096,55,59,2
925,1381999,55,60,2
926,1382316,55,61,2
927,1390333,56,61,2
928,1390626,57,62,2
929,1393848,57,62,2
930,1399306,57,62,2
931,1400781,57,62,2
932,1405814,57,62,2
933,1406435,57,62,2
934,1408165,57,62,2
935,1408869,58,62,2
936,1411556,59,62,2
937,1416456,59,62,2
938,1419362,59,62,2
939,1420665,59,62,2
940,1425368,59,62,2
941,1428103,59,62,2
942,1428266,60,62,2
943,1437072,60,62,2
944,1441671,60,62,2
945,1445885,61,62,2
946,1447234,61,62,2
947,1455377,61,62,2
948,1465589,61,62,2
949,1473027,61,62,2
950,1474298,61,62,2
951,1478219,61,62,2
952,1479691,61,62,2
953,1485737,61,62,3
954,1492609,61,62,3
955,1493464,61,62,3
956,1498305,61,63,3
957,1507355,61,66,3
958,1524660,61,67,3
959,1531296,61,67,3
960,1533768,61,67,3
961,1536183,61,67,3
962,1561878,61,69,3
963,1567715,61,69,3
964,1570085,61,71,3
965,1570347,61,72,3
966,1574757,62,73,3
967,1584672,62,73,3
968,1604150,62,75,3
969,1625217,62,77,3
970,1660868,63,77,3
971,1666188,64,77,3
972,1666260,65,78,3
973,1666507,65,83,3
974,1667593,65,84,3
975,1673884,67,84,3
976,1689694,67,87,3
977,1703564,67,89,3
978,1704594,67,93,3
979,1709212,67,96,3
980,1721029,67,96,3
981,1741739,67,98,3
982,1795968,76,98,3
983,1806862,79,100,3
984,1816924,79,103,3
985,1861596,79,103,3
986,1897527,98,107,3
987,1906219,100,115,4
988,1914333,120,123,4
989,1929830,120,132,4
990,2037814,121,135,4
991,2138344,132,151,5
992,2153720,134,161,7
993,2246481,159,167,7
994,2257846,178,177,7
995,2380735,188,178,7
996,2404844,198,179,7
997,2432572,201,180,8
998,2592363,224,184,9
999,2690027,316,340,10
1000,2720375,669,530,10

# SUMMARY
# seccomp_setup: min=586805 max=2720375 mean=953965.4 median=885539.0 stddev=279528.2 p95=1478219.0 p99=2138344.0
# syscall_seccomp: min=25 max=669 mean=35.9 median=28.0 stddev=28.0 p95=61.0 p99=132.0
# syscall_baseline: min=26 max=530 mean=38.3 median=29.0 stddev=26.1 p95=62.0 p99=151.0
